CAPEG;DIVISI;PENDIDIKAN;PRODI;IPK;PEMBERKASAN;WAWANCARA;AGE;STATUS;HASIL
1;TL;SARJANA;AK;2.5;LENGKAP;A;25;MENIKAH;LOLOS
2;MRK;MASTER;MATH;3.2;LENGKAP;B;23;LAJANG;LOLOS
3;CS;SARJANA;MATH;3.4;LENGKAP;A;26;LAJANG;LOLOS
4;CS;SARJANA;MATH;2.7;LENGKAP;B;26;LAJANG;LOLOS
5;MRK;MASTER;MM;3.3;LENGKAP;A;29;LAJANG;LOLOS
6;MRK;MASTER;MM;3.4;LENGKAP;A;33;MENIKAH;LOLOS
7;TL;DIPLOMA3;MM;2.3;LENGKAP;C;23;MENIKAH;GAGAL
8;CC;DIPLOMA1;COMP;3.2;KURANG;A;23;MENIKAH;LOLOS
9;CC;DIPLOMA1;COMP;2.4;LENGKAP;C;29;LAJANG;GAGAL
10;CS;SARJANA;AK;3.3;LENGKAP;A;26;LAJANG;LOLOS
11;CS;SARJANA;AK;2.4;KURANG;B;26;LAJANG;GAGAL
12;CS;SARJANA;AK;3.3;LENGKAP;B;27;MENIKAH;LOLOS
13;TL;SARJANA;MM;3.2;KURANG;B;24;LAJANG;LOLOS
14;TL;SARJANA;MM;3.4;LENGKAP;A;24;LAJANG;LOLOS
15;TL;SARJANA;MM;2.9;KURANG;C;29;LAJANG;GAGAL
16;TL;SARJANA;AK;3.8;LENGKAP;A;27;MENIKAH;LOLOS
17;TL;SARJANA;AK;2.8;KURANG;B;28;LAJANG;GAGAL
18;TL;SARJANA;AK;2.7;LENGKAP;B;32;CERAI;GAGAL
19;IT;MASTER;COMP;3.6;LENGKAP;A;29;LAJANG;LOLOS
20;IT;SARJANA;COMP;3.6;LENGKAP;A;26;LAJANG;LOLOS
21;IT;MASTER;COMP;2.6;KURANG;A;28;MENIKAH;LOLOS
22;IT;DIPLOMA3;COMP;2.5;KURANG;B;27;LAJANG;GAGAL
23;TL;DIPLOMA3;AK;3.4;KURANG;B;22;LAJANG;LOLOS
24;MRK;MASTER;MM;3.5;LENGKAP;B;29;LAJANG;LOLOS
25;MRK;MASTER;MM;2.8;LENGKAP;C;29;MENIKAH;GAGAL
26;TL;SARJANA;AK;3.2;LENGKAP;A;27;MENIKAH;LOLOS
27;TL;DIPLOMA2;MM;3.3;LENGKAP;A;33;MENIKAH;GAGAL
28;TL;DIPLOMA2;MM;2.8;KURANG;C;22;CERAI;LOLOS
29;TL;SARJANA;AK;2.8;KURANG;A;31;CERAI;GAGAL
30;TL;SARJANA;AK;2.4;KURANG;C;21;MENIKAH;GAGAL
